"","ID","DS","mean_rain"
"1","YOPOUGON-OUEST-SONGON","mean_rain",220.97610057484
"2","ADJAME-PLATEAU-ATTECOUBE","mean_rain",234.748168945312
"3","COCODY BINGERVILLE","mean_rain",234.346223195394
"4","ANYAMA","mean_rain",229.759499289773
"5","PORT BOUET-VRIDI","mean_rain",204.793772379557
"6","ABOBO EST","mean_rain",232.570327758789
"7","ABOBO OUEST","mean_rain",225.422142028809
"8","KOUMASSI","mean_rain",214.305885314941
"9","TREICHVILLE-MARCORY","mean_rain",201.524566650391
"10","YOPOUGON-EST","mean_rain",217.490570068359
"11","KONG","mean_rain",15.0477376097725
"12","FERKESSEDOUGOU","mean_rain",12.1752235595997
"13","DAOUKRO","mean_rain",36.5371051911385
"14","BUYO","mean_rain",104.175990789709
"15","MEAGUI","mean_rain",122.039883157481
"16","SOUBRE","mean_rain",113.187763759068
"17","MADINANI","mean_rain",20.8841857744779
"18","M'BENGUE","mean_rain",9.54124706337251
"19","KOUIBLY","mean_rain",31.598557320194
"20","MANKONO","mean_rain",28.1440361252981
"21","BIANKOUMA","mean_rain",28.9796271996995
"22","TIASSALE","mean_rain",102.182211179991
"23","KORHOGO 1","mean_rain",12.5973112996945
"24","MINIGNAN","mean_rain",9.61672425270081
"25","KANIASSO","mean_rain",11.0800466700497
"26","TENGRELA","mean_rain",12.6640350786845
"27","OUANGOLODOUGOU","mean_rain",8.4733998966217
"28","SINEMATIALI","mean_rain",11.6687813401222
"29","DIKODOUGOU","mean_rain",18.219480261018
"30","KOUTO","mean_rain",13.1923031395879
"31","BOUNDIALI","mean_rain",18.7103844609754
"32","KANI","mean_rain",23.661753055526
"33","SEGUELA","mean_rain",28.511475454058
"34","DANANE","mean_rain",65.8241364161174
"35","ZOUAN-HOUNIEN","mean_rain",107.616909450955
"36","TOULEPLEU","mean_rain",109.438166125067
"37","BLOLEQUIN","mean_rain",102.434718355219
"38","TABOU","mean_rain",170.796408124651
"39","SAN PEDRO","mean_rain",135.915089065964
"40","SASSANDRA","mean_rain",150.782679239909
"41","GUEYO","mean_rain",142.921577747052
"42","FRESCO","mean_rain",150.686950000364
"43","GUITRY","mean_rain",150.956632369604
"44","LAKOTA","mean_rain",139.655896868025
"45","DIVO","mean_rain",122.579473495483
"46","OUME","mean_rain",78.2766692097982
"47","GRAND-LAHOU","mean_rain",143.756197678415
"48","JACQUEVILLE","mean_rain",191.340061353601
"49","DABOU","mean_rain",195.10310201442
"50","ALEPE","mean_rain",199.334951117487
"51","GRAND-BASSAM","mean_rain",193.08965748754
"52","ADIAKE","mean_rain",154.049711499895
"53","TIAPOUM","mean_rain",151.618797019676
"54","ABOISSO","mean_rain",163.96094456841
"55","BETTIE","mean_rain",99.7373210682589
"56","YAKASSE-ATTOBROU","mean_rain",112.089747502254
"57","ADZOPE","mean_rain",100.789829600941
"58","AKOUPE","mean_rain",76.9382298556241
"59","SIKENSI","mean_rain",154.989775975545
"60","ISSIA","mean_rain",83.7974864038928
"61","ZOUKOUGBEU","mean_rain",56.0239384460449
"62","VAVOUA","mean_rain",32.714198919443
"63","KOUNAHIRI","mean_rain",30.9458947432669
"64","BONGOUANOU","mean_rain",59.8801313662062
"65","DIMBOKRO","mean_rain",54.8831570148468
"66","YAMOUSSOUKRO","mean_rain",50.0134550367083
"67","DIDIEVI","mean_rain",36.3983550637455
"68","TIEBISSOU","mean_rain",40.1816059413709
"69","SINFRA","mean_rain",70.2290749183068
"70","BOUAFLE","mean_rain",51.0930092334747
"71","ZUENOULA","mean_rain",34.2283272586026
"72","ABENGOUROU","mean_rain",50.3013823457467
"73","AGNIBILEKROU","mean_rain",42.6947775695284
"74","TEHINI","mean_rain",11.3852523235565
"75","DOROPO","mean_rain",12.4659759147823
"76","BOUNA","mean_rain",14.6532047636369
"77","NASSIAN","mean_rain",24.1547008115192
"78","SANDEGUE","mean_rain",25.1133406379006
"79","NIAKARAMADOUGOU","mean_rain",19.5778964474597
"80","KATIOLA","mean_rain",28.9043513916351
"81","BOTRO","mean_rain",35.7189216148563
"82","BOUAKE NORD-EST","mean_rain",34.3467532566616
"83","BEOUMI","mean_rain",36.1875394108784
"84","SAKASSOU","mean_rain",36.0850432881138
"85","M'BAHIAKRO","mean_rain",33.7312974691391
"86","PRIKRO","mean_rain",29.6503963697524
"87","TANDA","mean_rain",25.8657844767851
"88","TRANSUA","mean_rain",27.9675978583259
"89","KOUN FAO","mean_rain",28.3319095027062
"90","BONDOUKOU","mean_rain",25.0046172182439
"91","ODIENNE","mean_rain",20.5863165057967
"92","DIANRA","mean_rain",26.0610294342041
"93","KORO","mean_rain",27.1336831179532
"94","OUANINOU","mean_rain",28.8349134469334
"95","TOUBA","mean_rain",20.9813541797323
"96","MAN","mean_rain",43.9434369405111
"97","BANGOLO","mean_rain",59.4983286031087
"98","DUEKOUE","mean_rain",62.0526188499049
"99","GAGNOA 1","mean_rain",127.709106624828
"100","DALOA","mean_rain",51.3931328909738
"101","DABAKALA","mean_rain",21.1720817859356
"102","M'BATTO","mean_rain",82.2341159969181
"103","AGBOVILLE","mean_rain",120.892186754532
"104","GUIGLO","mean_rain",82.7132449283778
"105","TAI","mean_rain",122.825277777279
"106","TOUMODI","mean_rain",76.877064259847
"107","ARRAH","mean_rain",53.2689709213545
"108","BOCANDA","mean_rain",41.208389770153
"109","KOUASSI KOUASSIKRO","mean_rain",34.6282811598344
"110","BOUAKE SUD","mean_rain",32.2336141798231
"111","BOUAKE NORD-OUEST","mean_rain",31.1635823249817
"112","GAGNOA 2","mean_rain",93.1521479985485
"113","KORHOGO 2","mean_rain",17.4311372880582
